Accipiter gentilis, 
Ailuropoda melanoleuca, 
Alligator mississippiensis, 
Anas platyrhynchos, 
Anser cygnoides, 
Aptenodytes forsteri, 
Apus apus, 
Artibeus jamaicensis, 
Bombina bombina, 
Bos taurus, 
Bufo bufo, 
Callithrix jacchus, 
Calypte anna, 
Canis lupus, 
Caretta caretta, 
Castor canadensis, 
Centrocercus urophasianus, 
Cercocebus atys, 
Chaetura pelagica, 
Chelonia mydas, 
Chrysemys picta, 
Columba livia, 
Coturnix japonica, 
Crocodylus porosus, 
Cygnus atratus, 
Cygnus olor, 
Dasypus novemcinctus, 
Desmodus rotundus, 
Dromaius novaehollandiae, 
Echinops telfairi, 
Equus caballus, 
Erinaceus europaeus, 
Falco peregrinus, 
Felis catus, 
Gallus gallus, 
Gorilla gorilla, 
Grus americana, 
Haliaeetus albicilla, 
Halichoerus grypus, 
Homo sapiens, 
Lemur catta, 
Leptonychotes weddellii, 
Lutra lutra, 
Macaca fascicularis, 
Macaca mulatta, 
Macaca nemestrina, 
Mandrillus leucophaeus, 
Mauremys reevesii, 
Meleagris gallopavo, 
Meles meles, 
Mesocricetus auratus, 
Mirounga angustirostris, 
Mirounga leonina, 
Mustela putorius, 
Mus musculus, 
Nannospalax galili, 
Notechis scutatus, 
Numida meleagris, 
Nycticebus coucang, 
Odobenus rosmarus, 
Ornithorhynchus anatinus, 
Oryctolagus cuniculus, 
Oxyura jamaicensis, 
Panthera leo, 
Panthera pardus, 
Panthera tigris, 
Pan paniscus, 
Pan troglodytes, 
Papio anubis, 
Parus major, 
Passer montanus, 
Phasianus colchicus, 
Phoca vitulina, 
Phyllostomus hastatus, 
Pongo abelii, 
Pongo pygmaeus, 
Protopterus annectens, 
Pseudonaja textilis, 
Pteropus alecto, 
Puma concolor, 
Rana temporaria, 
Rattus norvegicus, 
Rhinatrema bivittatum, 
Rousettus aegyptiacus, 
Sapajus apella, 
Sarcophilus harrisii, 
Sceloporus undulatus, 
Serinus canaria, 
Sturnus vulgaris, 
Sus scrofa, 
Tachyglossus aculeatus, 
Theropithecus gelada, 
Trachemys scripta, 
Trichosurus vulpecula, 
Ursus americanus, 
Ursus arctos, 
Vulpes vulpes, 
Xenopus tropicalis, 
Zalophus californianus, 
Zootoca vivipara, 
